result,cleaned
1,ระบบคิดให้ค่ะ ถ้าจะเอาตัวเลขเป๊ะ ๆ เราไม่แน่ใจนะ เคยเห็นคนมาบ่นว่า อย่างสั่งของใน Ebay ระบบ Ebay แปลงค่าเงินดอลเป็นบาทเท่านี้ แต่ทำไมจ่ายด้วย Paypal โดนตัดไปด้วยตัวเลขที่ไม่เท่ากันค่ะ แต่มันก็ไม่ได้เยอะเท่าไหร่หรอก จุดทศนิยมค่ะ
1,"ขอบคุณมากเลยครับ กระจ่างเลย
เเต่เห็นระบุไม่ส่งนอกประเทศ
ก็จะลองสั่งดูครับ
แต่คนที่เขาเคยสั่ง ก็สั่งจากญี่ปุ่นโดยตรงหลายครั้งแล้ว
 แต่ไม่รุ้เว็ปเดียวกันไหม"
-1,ก่อนสั่งลองอ่าน ๆ แปล ๆ ดูค่ะ บางเจ้าเขาก็ไม่ส่งไทยจริง ๆ นะ
1,😖  ขอบคุณครับ
1,"มีทั้งแบบให้แปลง เยน เป็น บาทเลย แล้วตัดบัตรเป็น บาท วิธีนี้ จะรู้เลยว่าถูกตัดบัตรเท่าไร
อีกแบบคือ ให้ตัดบัตรเป็น เยน แล้วบัตรจะแปลง เยน เป็น บาท อีกที เราจะรู้เมื่อยอดขึ้นมาใน statement

เราจะใช้บัตร Ktc travel card แล้วแลกเงินใส่บัตรตามยอดที่ซื้อ แล้วให้ PayPal ตัดเงินในสกุลนั้นเลย"
-1,"ขึ้นค่าแรงไปทำไมเพราะเงินที่ได้ไปก็ต้องไปจ่ายข้าวของที่แพงขึ้น
ขอถามเงินค่าแรงที่เพิ่มขึ้นมาจะพอใช้จ่ายข้าวของที่ขึ้นราคาตามมาไหมครับ
ไม่พอ กับแย่ลงเพราะข้าวของขึ้นราคาทุกอย่าง
พอ มีเหลือเก็บมากกว่าเดิม ข้าวของขึ้นน้อยมาก
ตอบโพล ดูผลโพล"
-1,คนกินเงินเดือนโดนไปด้วยนะครับ เงินเดือนเท่าเดิม ต้องซื้อของแพงขึ้น เท่ากับ เงินเดือนที่ได้ค่าลดลง
-1,เงินเฟ้อเพิ่มน้อย แต่พวกแม่ค้าพ่อค้าเพิ่มราคาอาหารซะสูงลิบ
-1,"ถ้าควบคุมราคา ข้าวของเครื่องใช้ ได้ จะเป็นประโยชน์
แต่ถ้าควบคุมราคา ข้าวของเครื่องใช้ ไม่ได้ คนจะอยู่ลำบากขึ้น

จากที่ผ่านๆ มา มักจะเป็นข้อหลัง"
0,แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น
-1,เงินเดือนคุณก็ไม่ควรได้ขึ้นนะ ทุกคนรับเงินเท่าเดิมตลอดไป จะได้ไม่ทีเงินเฟ้อ เครปะ
1,"เห็นโปรนี้ในแอป ปกติมีบัตรนิสิตที่กดเงินได้ของ scb อยุ่
เลยอยากรู้ว้า การจะเปลี่ยนสามารถทำผ่านแอปได้เลยหรือเปล่า
เห็นบอกว่า ต้องได้รับเรียนเชิญ แล้วจะรู้ได้ไงว่าถูกเชิญ"
1,"เรียน คุณสมาชิกหมายเลข 4

สำหรับการเปลี่ยนแปลงประเภทบัตรเดบิต จะต้องเป็นลูกค้าที่ท่านต้องการได้รับการเรียนเชิญค่ะ อย่างไรธนาคารใคร่ขอเรียนทราบชื่อสกุล เบอร์โทรศัพท์มือถือ ผ่านช่องทางหลังไมค์ เพื่อประสานงานเจ้าหน้าที่ตรวจสอบข้อมูลให้ท่านโดยตรงคะ

SCBยินดีดูแลค่ะ"
1,สามารถตรวจสอบให้ผมด้วยได้ไหมครับๆ ว่าผมได้ถูกเชิญหรือเปล่าครับ ขอบคุณครับ
1,"เรียน สมาชิกหมายเลข

หากสะดวก สามารถแจ้งชื่อสกุล พร้อมหมายเลขโทรศัพทื สามารถแจ้งผ่านหลังไมค์เพื่อประสานงานเจ้าหน้าที่ตรวจสอบเพิ่มเติมให้ค่ะ

SCB ขอโอกาสดูแลก่อนนะคะ
ช่วงนี้เริ่มเข้าฤดูฝนแล้วดูแลรักษาสุขภาพด้วยนะคะ"
1,แจ้งข้อมูลเรียบร้อยแล้วครับผม
-1,เปลี่ยนแล้วไม่ได้ค่าธรรมเนียม บาท คืนค่ะ
-1,ล่อซื้อ หรือ จริง เห็นเชียร์กันจังตอนนี้
1,ราคานี้  กล้าเข้า ก็ลองเลย
1,ถ้าคุม RRดีก็พอเข้าได้อยู่
0,Spoil คลิกเพื่อดูข้อความที่ซ่อนไว้
-1,"มีแต่พวกเม่าชั้นใต้ถุนที่เอาเพชรไปเปรียบกับก้อนกรวด
Spoil คลิกเพื่อดูข้อความที่ซ่อนไว้"
1,ทำไม่ไม่เอาไปเที่ยบกับ KTC BTS AOT หรือ  BEM หละครับ ขอความรู้หน่อย
-1,ยังจะกลับมามั้ยนะ
-1,ราคานี้เจ้าต้องทยอยหาทางลงแล้ว จะดันได้อีกสักกี่น้ำ
1,รอต่ำ  แล้วค่อยคุยกัน
1,"ประสบการณ์ที่เคยติดอยู่ 9นะครับ ตอนนี้อย่าซื้อเลย ถ้าจะเก็งกำไร 5ึง6ค่อยซื้อครับ เพราะราคาส่วนใหญ่อยู่ที่ครับ
และยังไม่มีท่าทีขึ้น 9แบบนานๆเลยครับ ถ้าหวังกำไรไม่มากก็เอาเลยครับ จันทร์นี้ถ้าตกมา 5
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
1,"trc จองซื้อหุ้นใหม่ถึง ราคาหุ้นละ 2บาท

ในกรณีไม่คิดที่จะจองซื้อหุ้นใหม่ ไม่ต้องการนำเงินใหม่เข้ามาอีก ณ ราคาในกระดานขณะนี้ 2ที่ บาท ขายแล้วนำเงินไปจองซื้อหุ้นใหม่ก็จะได้ส่วนต่าง  2 2บาทต่อหุ้น เช่น มี trc ได้สิทธิ ซื้อหุ้นใหม่ trc มีทางเลือก

ขายหุ้นใหม่พอร์ต trc แล้วไปจองตามสิทธิ trc จะได้ส่วนต่าง  2บาท ไปลดต้นทุน
     หุ้นในพอร์ต ต้องทำความเข้าใจ หุ้นใหม่พอร์ตจะเหลือ  trc ส่วนจองซื้อหุ้นใหม่ trc จะเข้าพอร์ตอย่างเร็วกลางเดือนหน้า
     สิงหาคม 2หรือ

ขายหุ้นในพอร์ต trc เต็มจำนวนที่ จะได้เงิน 4บาท ไปจองซื้อหุ้นใหม่

      ก ตามสิทธิ trc   2บาท และ
      ข เหลือเงิน 4 2  บาท นำไปจองเกินสิทธิหุ้นละ 2 trc
          แต่ต้องทำความเข้าใจ ในการจองเกินสิทธิจะได้รับจัดสรร

          i ในกรณีจำนวนสละสิทธิ น้อยกว่า จำนวนจองเกิสิทธิ จะได้จัดสรรตามสัดส่วนของสิทธิ นั้นหมายถึง
               จะเป็นเท่าไรก็ได้ หรือ

         ii ในกรณีจำนวนสละสิทธื มากกว่า จำนวนจองเกินสิทธิ จะได้รับจัดสรรที่จองและจ่ายค่าหุ้นได้เต็มจำนวนที่จองเกินสิทธิ
               หมายถึงจะได้รับ trc เต็มจำนวน

ถ้าผมมี trc และ ได้สิทธิซื้อหุ้นใหม่ อย่างน้อยผมจะเลือก ข้อ โดยจะได้ส่วนต่าง และ มีจำนวนหุ้นคืนเต็มจำนวน ส่วน ข้อ ถ้าผมไม่สามารถรับความเสี่ยงว่าจะได้ส่วนจองเกินสิทธิเท่าไร ผมไม่ทำครับ

ด้วยความปรารถนาดี"
-1,ผมละกลัวเปิดงบไตรมาส ออกมาหงายหลังเงิบ พฤฒติกรรมเร่งรีบทำอะไรก่อนงบออกนี่น่าเป็นห่วงจริงๆ ครับคุณ luck me ใครจำ demco ได้บ้าง ตั้งสำรองฐานกังหันลมที่ต้องรับผิดชอบซ่อม ยาวต่อเนื่องมาไม่รู้จักกี่รอบ ไม่จบไม่สิ้น ผบห ชอบพูดความจริงไม่หมดครับ
1,"ประเด็นผมอยู่ที่มี trc อยู่ในมือและได้สิทธิซื้อหุ้นใหม่แล้ว จะด้วยสาเหตุๆผลใดๆก็ตาม จะไม่ขายหุ้นในพอร์ต แสดงว่าตัวเราเองยอมรับอะไรจะเกิดก็ต้องเกิด ถ้าไม่ใช้สิทธิซื้อหุ้นใหม่ตามความเห็นผม คุณก็จะไม่ได้อะไร ในกรณีมีความกลัวร้อยแปดพันประการ น่าจะขายหุ้นในพอร์ตให้หมด แล้ว ไม่ใช้สิทธิซื้อหุ้นใหม่เพิ่มทุน

ด้วยความปรารถนาดี"
1,ขอบคุณมากครับ
1,"มีสมุดบัญชีอยู่เล่มนึงที่ขึ้นในแอพว่า not available โดยยังไม่ปิด แต่เล่มอื่นขึ้นได้ปกตินะคะ

แบบนี้ลบแล้วเพิ่มเข้าไปในแอพใหม่ จะหายมั๊ยคะ"
1,น่าจะต้องติดต่อธนาคาร   เดาเอาว่าบัญชีนั้นไม่มีการเคลื่อนไหวนาน  เลยทำอะไรไม่ได้   ต้องเอาสมุดบัญชีไปติดต่อธนาคารให้ปลดล็อกให้
0,Cr
1,ขายแล้วครับ
-1,อ่าว เลิกกังวลกันแล้วเหรอ
1,เจ้ากังวลว่าจะได้ของไม่ครบ ตอนนี้ได้เยอะละ ก็เลยคลายกังวล
-1,กังวลเหมือนเป็นไบโพล่าเลยนะคับ เด่วดีเด่วร้าย
-1,คงลากทุบตรง อีกรอบแล้วทิ้งอีกที
1,ถ้าซื้อตอนนี้ผลจะดีหรือไม่ดี ยังไงบ้างครับ
1,google
1,ลุกแล้วนะ
1,เต็มมูลค่าสุดๆ สละเรือ
1,ดี   เรือจะได้ไม่หนัก
1,รวย รวย รวย
1,พี่ก้องขายหมู 555
1,"วันนี้กองน่าจะเก็บของมันจะหมดแล้ว เก็บของถูกจากเม่าคัตลอส
เม่าขาย SET เลยขึ้น"
-1,"กองหวงแต่ของแพงที่ไม่มีใครอยากรับต่อ
เพื่อนเม่าระวังกันด้วยนะครับ"
-1,เก้าอี้ดนตรี ลุกทีหลังจ่ายรอบวงนะ
1,ถ้าเป็นคุณ แบบไหนดีกว่า บนพื้นฐานมีความรู้ทั้งสองด้าน แต่ให้เลือกทำย่างเดียว คุณเลือกแบบไหน เพราะอะไร
1,หุ้รดีที่สุด ไปไกลที่สุด คล่องมากที่สุดครับ
1,หุ้นปันผล
1,"ถ้ามีความรู้และเชี่ยวชาญจริงๆ รวมถึงบริหารจัดการความเสี่ยงได้เก่ง ย้ำประโยคนี้อีก รอบ
ผมจะเลือกทรัพย์สินที่มีโอกาสให้ผลตอบแทนสูงที่สุดครับ
ถ้าจากโจทย์พี่ จขกท ก็คือ หุ้นเติบโต"
1,ที่ิดิน
-1,หลอกให้มารับเพราะเจ้ารับมาเต็มมือ แต่ขายไม่ออก ก่อนถูกขังยาวหมื่นๆปี
886.07 ล้านบาท จะทำให้ส่วนผู้ถือหุ้น 2,ขอให้เข้าใจตรงกัน ifec กลับมาซื้อขายชั่วคราวถึง หลังจากนั้นต้องกลับเข้าคุกต่อ จน สามารถส่งงบการเงินครบทุกๆไตรมาส  ไม่ได้ส่งงบตั้งแต่ ถึง ปัจจุบัน น่าจะมาจากมีอะไรไม่ชอบในบริษัทมีปัญหากับงบการเงิน จากข่าวสารที่เรารู้ๆกัน น่าจะออกมาขาดทุน ถ้าในปี 2 2ขาดทุนในอัตราส่วนเดียวกันกับ 25 ที่ 1
020.24 ล้านบาท; และ,ผลประกอบการไตรมาสค้างๆตั้งแต่ เป็นต้นมา  ต้องขาดทุน 2
-1,ด้วยความปรารถนาดี
-1,"อยากแทง s แบบ run trend ยาวหน่อยแต่เงินไม่พอจะเล่น tfex 
พอไปแทง s dw ก็โดน tine decay กินหมด เฮ้อ"
1,Options พอได้ไหม
1,มีTime decay
1,แนะนำ ออฟชั่น อีก เสียง
1,เล่นยังไงครับ พออธิบายคร่าวๆ ได้ไหม
1,Binary option เล่นได้  ชั่วโมง
0,
0,"หาค่ายที่time decayลงน้อยๆดิ
เมื่อก่อนผมเคยเล่นค่าย time decayน้อย แต่อัตราทดก็น้อยตามด้วยเดี๋ยวนี้ไม่แน่ใจมีค่ายอื่นที่เป็นทางเลือกดีกว่าค่ายนี้ป่าว เทรดแต่ฟิวเจอร์ไม่ได้เล่นdwมาีแล้ว"
1,คิดเหมือนกัน  ผมไปด้วย  นะ ถ้าเจอ
1,หุ้น
1,GOOD
1,รวยๆๆๆๆ กว่านี้ไม่มีอีกแล้ว
1,มีอะไรกับ MALEE หรือเปล่า
1,หนู MALEE ชอบกิน ZEN
-1,"หึหึหึ 5555555555555555555555555555555555555555555555555555555555กร๊าาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาากกกกกกกกกกกกกกกกกกกกกกกกกกกกกๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ

เง่าหรั่ง ทำได้แค่พายุงตาหลาดน่ะนะ

ลากมาล้าว มะมีใครตาม ก๊ะต้องยืนขายลาว่าร้อน ณ ตี้ราบสูงบนดอยดอย

รอเง่ารอบใหม่มารับไป๊

ปล มะวานบอกอีกามา นี่ลากซะกาบินหนีเล่อะ

เอาตี้เอ็งซำบายจัยเฟ้ย มะใช่เงินป๋ม มะเดือดร้อนน่ะนะ

ก้อดเต้านั้ล ซำบายๆๆ"
-1,"หมดตรูดยัง ผิดทางทุกวันเลยนิเลยเรา
ไปเปลี่ยนชื่อเลยนะ จากคำว่าเซียนนำหน้า
เป็นขี้กรากนำหน้านะ ไอ้ขี้กราก5555555"
1,"เต่าแง  ถั่วงอก

บี่เจ็ง  ผงชูรส"
1,ก๊ะเด๋วขอคิดก่อน ว่าจามู้อัลลัย
1,วันนี้เฮียจะ ู้ไหมฮะ😁
-1,กากินแล้ว บินหนี บาปได้แก่ผู้ตี โทษครั้งนี้ บ่ เป็นคุณ
1,มันต้องมีเหตุผลสิ  ที่เค้าออกมาอ่ะ
1,"เจ้าตอนนี้ ลดปอด กันเงียบเชียบ เล่อะ

BigBoss กาซิบมาว่างั้ลลลน่ะนะ"
1,เม่าไม่มีหุ้นจะขายแล้วรอเจ้าใจดีเอาหุ้นมาแจกใหม่
1,"วันนี้ ถ้าอีกา บินวนกลับมา

จามู้มันให้ครบ โควต้าเล่อะ
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา  น"
1,เด้งก่อนจี้แล้วค่อย S
-1,งานนี้ ได้ขายไตถัว S กันบ้างละ
1,วันนี้น่าจะบวก 
-1,ถ้าอีกามันไม่มาละ
1,ที่ด้าย เคลมไว
1,ล้ำลึกนักแม่หญิงฆ้องปี๊บ
-1,"ผมเตื่อนเฮียเค้าแล้วอย่ารีบออกมา

เจ้ามันเห็นเลย แกล้ง กวนีน อะครับ"
1,เซียนเหลาเทรดเฟค EQ สูงมาก ทายผิดทุกวันโดนคนมาด่าทุกวันก็ยังไม่โกรธ ยอดไปเลย
1,รวมพลฯ มาช่วยคุณลุงเซียนฯ ค่ะ
-1,เฮียขอยืนยันนั่งยันแถมตะแบงว่าตะเองถูกตาหลอดใครอยู่ตรงข้ามโง่วๆๆๆทูกคน
1,S ได้หมาย
1,"เฮียยย สุดยอด เสมอ  มีเหรอะจะยอม
เด้ง s เด้ง s 
แก้ไขข้อความเมื่อ  กรกฎาคม เวลา 2น"
-1,"เอ็งนี่มันช่างอ่อนสินธรเหลือเกิ้น

มู้กรากๆๆๆ

เม้นยังจะกรากอีก

ไปข้างหน้าก่อนนะ เด๋งว่าง จาพาไปกินเกาเหลา มะมีลูกชิ้นนะเฟ้ย เอาแค่ซุป กะ เต่าแง ไปพอ เอ็งอะ บี่เจ็ง เด๋วใส่ให้หนักๆๆ เอ็งจาชอบ รับรอง"
1,ป้ายสำนักหายไปอีกละ
-1,ละคงละคังสามลงสามเลี่ยม ถ้าไม่หยุดถึงันแน่นวลก็เท่านั้ล
1,สวัสดีครับ อาจารย์ด้าย
1,ยุงเยอะฮะ พายุงเฮียเหลาไปดมยาดมบนดอยลาวาร้อนก่อนนะฮะ
-1,ผ่อนคอนโดกับเจ้าของโดยตรง โดยวางเงินดาวน์ทำสัญญาเช่าซื้อเข้าอยู่ได้เลยแล้วผ่อนต่ออีก1ีถึงโอนเป็นชื่อเรามีโอกาสโดนหลอกไหมค่ะ ใครเคยมีประสบการ์ณผ่อนกับเจ้าของโดยตรงบ้างแนะนำหน่อยค่ะ ขอบคุณค่ะ
-1,อย่าทำ
-1,เสี่ยงมากใช่ไหมค่ะ
1,เราเตือนคุณแล้ว
-1,แบบนี้คือโดนหลอกใช่ไหมค่ะ
-1,โดนหลอกครับ
1,ต้องถามกลับว่า ทำไมถึงกล้าเชื่อใจคนอื่นขนาดนั้น 1ี ไม่ใช่น้อยๆ ถ้าเจ้าของห้องตัวจริงตายไปก่อนจะผ่อนหมดจะทำไง ไปผ่อนกับธนาคารไม่สบายใจกว่าหรอ จะได้ไม่เกิดคำถามแบบที่ถามอยู่นี้ด้วย
1,"ลองต่อรองให้โอนก่อนผ่อนสิครับ
ถ้าได้ก็เฮเลย"
-1,ไม่เป็นผลดีกับ ทั้ง่าย
-1,โมเดลแบบนี้ ไว้หลอกกินเงินดาวน์ สำหรับคนที่สถานะการเงินแย่ ยื่นกู้ธนาคารก็ไม่อนุมัติ พอมาผ่อนตรง ๆ กับเจ้าของ ได้ไม่นานก็ผ่อนไม่ไหว สัญญาเป็นอันยกเลิก เจ้าของก็กินเงินดาวน์ไป
-1,"เกิดคุณผ่อนไป ปี ต้องย้ายที่อยู่ คุณจะทำอย่างไร
ขายได้มั้ย
ผ่อนที่นี่ไปด้วย ไปจ่ายของที่อยู่ใหม่ด้วย ไหวมั้ย

เกิดผู้ขายเสียชีวิต ลูกหลานเค้าแย่งสมบัติกัน ไม่มีใครมาโอนบ้านให้คุณ ทำอย่างไร"
-1,"เสี่ยงสูง  แต่ก็เคยมีคนทำแล้วทำได้จริง

ตอนผมประกาศขายคอนโดก็มีคนเสนอมาแบบนี้  ขอวางเงิน  แล้วผ่อนตรงกับคนขาย
ผ่อนครบค่อยโอน

แต่ดูแล้ว  ต้องเสี่ยงเรื่องเสียโอกาส เสียเวลา  ไม่อยากปวดหัวคอยทวง  คอยไล่  เลยบอกปัดไป"
-1,"คิดสิ ทำไมเจ้าของไม่ให้คุณยื่นกู้ธนาคารทั้งๆที่เจ้าของได้เงินก้อนเต็มๆ ล้าน
นี่มานั่งรออยู่เดือนละ มื่นเพื่อ"
-1,"ไปผ่อนกับธนาคารดีกว่า  ถ้าอนาคตการเงินเกิดมีปัญหา
ยังรีไฟแนนซ์ หรือ ขายให้คนอื่น เปลี่ยนสัญญาได้



ผู้เช่าซื้อผิดนัดไม่ชำระเงินสองคราวติดๆกันหรือกระทำผิดสัญญา ในข้อที่เป็นสาระสำคัญ เจ้าของทรัพย์สินที่ให้เช่าซื้อมีสิทธิบอกเลิก สัญญาเมื่อใดก็ได้ ส่วนเงินที่ชำระราคามาแล้วแต่ก่อน ให้ตกเป็นสิทธิของเจ้าของทรัพย์สินโดยถือเสมือนว่าเป็นค่าเช่า ผู้เช่าซื้อไม่มีสิทธิเรียกคืนจากเจ้าของได้

อ่านเนื้อหาต้นฉบับได้ที่  TerraBKKcom"
-1,อย่าทำเด็ดขาด
1,"ลองดูบัญชีที่สะดวกๆ ดีไหมฮะ หรือไม่ก็ลองศึกษาบัญชี ME save หรือ ME by tmb อันเดียวกัน จะเป็นบัญชีดิจิตอล ไม่มีสมุดคู่ฝาก
แต่ปลอดภัยหายห่วง ส่วนตัวใช้มาหลายปีแล้ว แล้วไม่เคยมีปัญหาอะไร คือถ้าเน้นออมจะโอเคมากๆ เพราะว่า บัญชีที่ว่านี้เป็นออมทรัพย์พิเศษ
ซึ่งดอกเบี้ยจะพอๆกับฝากประจำ แต่เงื่อนไขน้อยกว่ามาก ลองหาข้อมูลดูครับ"
