comment,result,preprocessed
"747.93บาท หัก VAT จะเหลือยอดแพ็คเกจ 699.00บาท

แต่ที่สำคัญคือระบบ Fiber จะเรียกเก็บค่าใช้จ่ายล่วงหน้า ซึ่งจะต่างจากบริการอื่นๆที่จะเรียกเก็บค่าใช้จ่ายย้อนหลัง เพราะระบบ Fiber จะเป็นค่าใช้จ่ายคงที่ ซึ่งต่างกับค่าใช้จ่ายอื่นๆที่จะมีค่าใช้จ่ายส่วนเกินหรือค่าใช้จ่ายตามปริมาณการใช้งาน
แก้ไขข้อความเมื่อ 19 กรกฎาคม เวลา 11:01 น.",1,"บาท,หัก,VAT,ยอด,แพ็ค,เก,จา,ทำ,ระบบ,Fiber,ค่าใช้จ่าย,ล่วงหน้า,บริการ,ค่าใช้จ่าย,ย้อนหลัง,ระบบ,Fiber,ค่าใช้จ่าย,คงที่,ค่าใช้จ่าย,ค่าใช้จ่าย,ล่วงเกิน,ค่าใช้จ่าย,ปริมาณ,การใช้งาน,ข้อความ,กรกฎาคม,เวลา"
"ปกตินะคะ แต่รายการของเราจ่ายผ่าน My AIS

ใน Statement จะใช้คำว่า AIS 3G Postpaid_E-Service",1,"ปกติ,มะคะ,จ่าย,MyAIS,Statement,AISPostpaidEService"
"ไม่แน่ว่าตัดยอดบัญชีผิดคนหรือเปล่า..เลยทำให้ไม่มีข้อมูล
แก้ไขข้อความเมื่อ 19 กรกฎาคม เวลา 13:32 น.",-1,"แพ้,ตัด,ยอด,บัญชี,ข้อมูล,ข้อความ,กรกฎาคม,เวลา"
"ไปที่ช๊อปครับ

และให้เจ้าหน้าที่ reprint ใบเสร็จและใบแจ้งค่าบริการมาเทียบกัน ว่าใบเสร็จนี้บแจ่ายให้กับใบแจ้งไหน เพราะในใบเสร็จจะระบุเลขที่ใบแจ้งไปในนั้นด้วย ตามไม่ยากครับ

เบื้องต้นถ้าจะใช้บริการ ก็จ่ายเข้าไปก่อนครับ
ถ้าเจ้าหน้าที่เจอยอดแล้ว ระบบจะ adjust เป็นยอด advanced เข้าไปใน account ให้ครับ",1,"ช้อป,เจ้าหน้าที่,reprint,ใบเสร็จ,ใบ,แจ้ง,ค่าบริการ,เทียบ,ใบเสร็จ,นี้,จ่าย,ใบ,แจ้ง,ใบเสร็จ,ระบุ,เลขที่,ใบ,แจ้ง,แม่ยาย,เบื้องต้น,บริการ,จ่าย,เจ้าหน้าที่,เจอ,ยอด,ระบบ,adjust,เป็นรอง,advanced,account"
"ทำไมถึงไม่สงสัย AMEX และทำไมไม่ให้ AMEX ตามครับ
ถ้าเหตุการณ์ แบบนี้เกิดกับผม ผมจะไปไล่กับ AMEX เลยครับ

คุณคนหักเงิน คุณบอกว่าส่งไปแล้ว แต่ไมถึง จะโทษใครละ
AMEX จะบอกว่า ชั้นไม่เกี่ยว ชั้นส่งไปแล้ว ไปตามเอง ไม่น่จะใช่นะ AMEX นี่บริการเยี่ยมยอดเลย",-1,"สงสัย,AMEX,AMEX,เหตุการณ์,ผม,ผม,ไล่,AMEX,คน,หัก,เงิน,ว่าส่งไป,ไม,โทษ,AMEX,บอ,ชั้น,ไม่เกี่ยว,ชั้น,AMEX,บริการ,เยี่ยมยอด"
" จะสั่งสินค้าแต่ราคาเป็นสกุล..เยน
ถ้าจ่ายผ่าน paypal จะแปลงค่าเงินให้เองไหม

หรือท่านใดเคยซื้อก็คำแนะนำหน่อยครับ",1,"สั่งสินค้า,ราคา,สกุล,เยน,จ่าย,paypal,แปลง,หาเงิน,ไหม,ท่าน,ใด,ซื้อ,คำแนะนำ"
ระบบจะแปลงให้เองค่ะ,1,"ระบบ,แปลง"
"ขอบคุณครับ

ถ้าสมมุติราคา 80000 เยน
เลือกจ่ายด้วย PayPal
ทางระบบคำนวณค่าเงินบาทให้เท่ากับค่าเงินเยน  ถูกต้องไหมครับ

ปล. คนที่รู้จักห่างๆเห็นเขาสั่งบ่อย
ทั้งๆที่ไม่รู้ภาษา ( ตรงส่วนนี้ยังเปลี่ยนภาษาได้) ถามเขาก็ไม่บอก จะเอาก็ฝากสั่งคือง่ายๆจะคิดค่าสั่งนะครับ

ขอบคุณล่วงหน้าครับ",1,"ขอบคุณ,สมมุติ,รา,คาย,เลือก,จ่าย,PayPal,ระบบ,คำนวณ,ค่าเงินบาท,หาเงิน,เยน,ไหม,ปล้น,รู้จัก,ห่าง,สั่ง,ไม่สู้,ภาษา,นี้,ภาษา,ถาม,ฝาก,สั่ง,ค่า,สั่ง,ขอบคุณ,ล่วงหน้า"
ระบบคิดให้ค่ะ ถ้าจะเอาตัวเลขเป๊ะ ๆ เราไม่แน่ใจนะ เคยเห็นคนมาบ่นว่า อย่างสั่งของใน Ebay ระบบ Ebay แปลงค่าเงินดอลเป็นบาทเท่านี้ แต่ทำไมจ่ายด้วย Paypal โดนตัดไปด้วยตัวเลขที่ไม่เท่ากันค่ะ แต่มันก็ไม่ได้เยอะเท่าไหร่หรอก จุดทศนิยมค่ะ,1,"ระบบ,ตัวเลข,เป๊ะ,ไม่แน่ใจ,คน,ต่อว่า,สิ่งของ,Ebay,ระบบ,Ebay,แปลง,หาเงิน,ดอล,บาท,จ่าย,Paypal,โดน,ตัด,ตัว,เลขที่,หรอก,จุดทศนิยม"
"ขอบคุณมากเลยครับ กระจ่างเลย
เเต่เห็นระบุไม่ส่งนอกประเทศ
ก็จะลองสั่งดูครับ
แต่คนที่เขาเคยสั่ง ก็สั่งจากญี่ปุ่นโดยตรงหลายครั้งแล้ว
* แต่ไม่รุ้เว็ปเดียวกันไหม",1,"ขอบคุณ,กระจ่าง,เต่,ระบุ,ประเทศ,ลอง,สั่ง,ดู,คน,สั่ง,สั่ง,ญี่ปุ่น,โดยตรง,หลายครั้ง,รุ้เว็ป,ไหม"
ก่อนสั่งลองอ่าน ๆ แปล ๆ ดูค่ะ บางเจ้าเขาก็ไม่ส่งไทยจริง ๆ นะ,-1,"สั่ง,ลอง,อ่าน,แปล,ดู,เจ้า,ไทย"
😖  ขอบคุณครับ,1,ขอบคุณ
"มีทั้งแบบให้แปลง เยน เป็น บาทเลย แล้วตัดบัตรเป็น บาท วิธีนี้ จะรู้เลยว่าถูกตัดบัตรเท่าไร
อีกแบบคือ ให้ตัดบัตรเป็น เยน แล้วบัตรจะแปลง เยน เป็น บาท อีกที เราจะรู้เมื่อยอดขึ้นมาใน statement

เราจะใช้บัตร Ktc travel card แล้วแลกเงินใส่บัตรตามยอดที่ซื้อ แล้วให้ PayPal ตัดเงินในสกุลนั้นเลย",1,"แปลง,เยน,บาท,ตัด,บัตร,บาท,วิธี,นี้,รู้,ตัด,บัตร,ตัด,บัตร,เยน,บัตร,แปลง,เยน,บาท,รู้,ยอด,statement,บัตร,Ktctravelcard,ลงเงิน,ใส่,บัตร,ยอด,ซื้อ,PayPal,ตัด,เงิน,สกุล"
"ขึ้นค่าแรงไปทำไมเพราะเงินที่ได้ไปก็ต้องไปจ่ายข้าวของที่แพงขึ้น
1. ขอถามเงินค่าแรงที่เพิ่มขึ้นมาจะพอใช้จ่ายข้าวของที่ขึ้นราคาตามมาไหมครับ
ไม่พอ กับแย่ลงเพราะข้าวของขึ้นราคาทุกอย่าง
พอ มีเหลือเก็บมากกว่าเดิม ข้าวของขึ้นน้อยมาก
ตอบโพล ดูผลโพล",-1,"ค่าแรง,เงิน,จ่าย,ข้าวของ,แพง,ถาม,เงิน,ค่าแรง,เพิ่มขึ้น,ใช้จ่าย,ข้าวของ,ขึ้นราคา,ตามมี,ไหม,แย่,ข้าวของ,ขึ้นราคา,เดิม,ข้าว,ข้างขึ้น,ตอบ,โพล,ดู,โพล"
คนกินเงินเดือนโดนไปด้วยนะครับ เงินเดือนเท่าเดิม ต้องซื้อของแพงขึ้น เท่ากับ เงินเดือนที่ได้ค่าลดลง,-1,"คน,กิน,เงินเดือน,โดน,เงินเดือน,เท่าเดิม,ซื้อขาย,แพง,เงินเดือน,ค่า,ลดละ"
เงินเฟ้อเพิ่มน้อย แต่พวกแม่ค้าพ่อค้าเพิ่มราคาอาหารซะสูงลิบ,-1,"เงินเฟ้อ,แม่ค้า,พ่อค้า,ราคา,อาหาร,ลิบ"
"ถ้าควบคุมราคา ข้าวของเครื่องใช้ ได้ จะเป็นประโยชน์
แต่ถ้าควบคุมราคา ข้าวของเครื่องใช้ ไม่ได้ คนจะอยู่ลำบากขึ้น

จากที่ผ่านๆ มา มักจะเป็นข้อหลัง",-1,"ควบคุมราคา,ข้าวของเครื่องใช้,เป็นประโยชน์,ควบคุมราคา,ข้าวของเครื่องใช้,คน,ลำบาก,มัจจะ,ข้อ"
แก้ไขข้อความเมื่อ 19 กรกฎาคม เวลา 11:10 น.,0,"ข้อความ,กรกฎาคม,เวลา"
เงินเดือนคุณก็ไม่ควรได้ขึ้นนะ ทุกคนรับเงินเท่าเดิมตลอดไป จะได้ไม่ทีเงินเฟ้อ เครปะ,-1,"เงินเดือน,รับเชิญ,เท่าเดิม,ต่อไป,เงินเฟ้อ,เค,รถ,ปะ"
"เห็นโปรนี้ในแอป ปกติมีบัตรนิสิตที่กดเงินได้ของ scb อยุ่
เลยอยากรู้ว้า การจะเปลี่ยนสามารถทำผ่านแอปได้เลยหรือเปล่า
เห็นบอกว่า ต้องได้รับเรียนเชิญ แล้วจะรู้ได้ไงว่าถูกเชิญ ??",1,"โปร,นี้,แอ,ปกติ,บัตร,นิสิต,กด,เงินได้,scb,อยากรู้,ว้า,ทำ,แอ,บอ,เรียนเชิญ,แล้,วจะ,รู้,เชิญ"
"เรียน คุณสมาชิกหมายเลข 4560058

สำหรับการเปลี่ยนแปลงประเภทบัตรเดบิต จะต้องเป็นลูกค้าที่ท่านต้องการได้รับการเรียนเชิญค่ะ อย่างไรธนาคารใคร่ขอเรียนทราบชื่อ-สกุล เบอร์โทรศัพท์มือถือ ผ่านช่องทางหลังไมค์ เพื่อประสานงานเจ้าหน้าที่ตรวจสอบข้อมูลให้ท่านโดยตรงคะ

#SCBยินดีดูแลค่ะ",1,"เรียน,สมาชิก,หมายเลข,4,สำหรับ,การเปลี่ยนแปลง,ประเภท,บัตร,เดบิต,ลูกค้า,ท่าน,ต้องการ,เรียนเชิญ,ธนาคาร,เรียน,ทราบ,ชื่อสกุล,เบอร์,โทรศัพท์มือถือ,ช่องทาง,ไมค์,ประสานงาน,เจ้าหน้าที่,ตรวจสอบ,ข้อมูล,ท่าน,โดยตรง,SCB,ยินดี,ดูแล"
สามารถตรวจสอบให้ผมด้วยได้ไหมครับๆ ว่าผมได้ถูกเชิญหรือเปล่าครับ ขอบคุณครับ ^^,1,"ตรวจสอบ,ผม,ไหม,ผม,เชิญ,ขอบคุณ"
"เรียน สมาชิกหมายเลข784277

หากสะดวก สามารถแจ้งชื่อ-สกุล พร้อมหมายเลขโทรศัพทื สามารถแจ้งผ่านหลังไมค์เพื่อประสานงานเจ้าหน้าที่ตรวจสอบเพิ่มเติมให้ค่ะ

#SCB ขอโอกาสดูแลก่อนนะคะ
#ช่วงนี้เริ่มเข้าฤดูฝนแล้วดูแลรักษาสุขภาพด้วยนะคะ",1,"เรียน,สมาชิก,หมายเลข,สะดวก,แจ้ง,ชื่อสกุล,หมายเลข,โทร,ศัพทืสา,รถ,แจ้ง,ไมค์,ประสานงาน,เจ้าหน้าที่,ตรวจสอบ,SCB,โอกาส,ดูแล,มะคะ,ช่วงใช้,ฤดู,ดูแล,รักษาสุขภาพ,มะคะ"
แจ้งข้อมูลเรียบร้อยแล้วครับผม ^^,1,"แจ้ง,ข้อมูล,เรียบร้อย"
เปลี่ยนแล้วไม่ได้ค่าธรรมเนียม 100 บาท คืนค่ะ,-1,"ค่า,ธรรม,เนีย,ทำ,คืน"
ล่อซื้อ หรือ จริง เห็นเชียร์กันจังตอนนี้,-1,"ล่อ,ซื้อ,เชียร์,ตอนนี้"
ราคานี้  กล้าเข้า ก็ลองเลย,1,"ราคา,นี้,กล้า,ลอง"
ถ้าคุม RRดีก็พอเข้าได้อยู่,1,"คุม,ดี"
"...

[Spoil] คลิกเพื่อดูข้อความที่ซ่อนไว้",0,"Spoil,คลิก,ดู,ข้อความ,ที่นอน"
"มีแต่พวกเม่าชั้นใต้ถุนที่เอาเพชรไปเปรียบกับก้อนกรวด
[Spoil] คลิกเพื่อดูข้อความที่ซ่อนไว้",-1,"เม่า,ชั้น,ใต้ถุน,เพชร,เปรียบกับ,ก้อนกรวด,Spoil,คลิก,ดู,ข้อความ,ที่นอน"
ทำไม่ไม่เอาไปเที่ยบกับ KTC BTS AOT หรือ  BEM หละครับ ขอความรู้หน่อย,1,"ทำ,เที่ยว,KTCBTSAOT,BEM,หละ,ความรู้"
ยังจะกลับมามั้ยนะ,-1,
ราคานี้เจ้าต้องทยอยหาทางลงแล้ว จะดันได้อีกสักกี่น้ำ,-1,"ราคา,นี้,เจ้า,ทยอย,หา,แล้,วจะ,ดัน,สัก,กี่,น้ำ"
รอต่ำ 80 แล้วค่อยคุยกัน,1,"รอ,ต่ำ,คุย"
"ประสบการณ์ที่เคยติดอยู่ 129.5 นะครับ ตอนนี้อย่าซื้อเลย ถ้าจะเก็งกำไร 125.5ถึง126.5 ค่อยซื้อครับ เพราะราคาส่วนใหญ่อยู่ที่127-128.5 ครับ
และยังไม่มีท่าทีขึ้น 129.5 แบบนานๆเลยครับ ถ้าหวังกำไรไม่มากก็เอาเลยครับ จันทร์นี้ถ้าตกมา 125.5-126
แก้ไขข้อความเมื่อ 20 กรกฎาคม เวลา 21:48 น.",1,"ประสบการณ์,ติด,9,ตอนนี้,อย่า,ซื้อ,เก็งกำไร,5,6,ซื้อ,ราคา,ท่าที,9,หวัง,กำไร,เอาเลย,จันทร์,นี้,ตก,5,ข้อความ,กรกฎาคม,เวลา"
"trc จองซื้อหุ้นใหม่ถึง 22/7/2562 ราคาหุ้นละ 0.125 บาท

ในกรณีไม่คิดที่จะจองซื้อหุ้นใหม่ ไม่ต้องการนำเงินใหม่เข้ามาอีก ณ ราคาในกระดานขณะนี้ 10:25 ที่ 0.15 บาท ขายแล้วนำเงินไปจองซื้อหุ้นใหม่ก็จะได้ส่วนต่าง 0.15 - 0.125 = 0.025 บาทต่อหุ้น เช่น มี 1,800,000 trc ได้สิทธิ ซื้อหุ้นใหม่ 1,000,000 trc มีทางเลือก

(๑) ขายหุ้นใหม่พอร์ต 1,000,000 trc แล้วไปจองตามสิทธิ 1,000,000 trc จะได้ส่วนต่าง 1,000,000*0.025 = 2,500.00 บาท ไปลดต้นทุน
     หุ้นในพอร์ต ต้องทำความเข้าใจ หุ้นใหม่พอร์ตจะเหลือ 800,000 trc ส่วนจองซื้อหุ้นใหม่ 1,000,000 trc จะเข้าพอร์ตอย่างเร็วกลางเดือนหน้า
     สิงหาคม 2562; หรือ

(๒) ขายหุ้นในพอร์ต 1,800,000 trc เต็มจำนวนที่ 0.25 จะได้เงิน 450,000 บาท ไปจองซื้อหุ้นใหม่

      ก. ตามสิทธิ 1,000,000 trc @ 0.25 = 250,000.00 บาท; และ
      ข. เหลือเงิน 450,000 - 250,000 = 200,000 บาท นำไปจองเกินสิทธิหุ้นละ 0.125 = 1,600,000 trc
          แต่ต้องทำความเข้าใจ ในการจองเกินสิทธิจะได้รับจัดสรร

          (i) ในกรณีจำนวนสละสิทธิ น้อยกว่า จำนวนจองเกิสิทธิ จะได้จัดสรรตามสัดส่วนของสิทธิ นั้นหมายถึง
               จะเป็นเท่าไรก็ได้; หรือ

         (ii) ในกรณีจำนวนสละสิทธื มากกว่า จำนวนจองเกินสิทธิ จะได้รับจัดสรรที่จองและจ่ายค่าหุ้นได้เต็มจำนวนที่จองเกินสิทธิ
               หมายถึงจะได้รับ 1,600,000 trc เต็มจำนวน

ถ้าผมมี trc และ ได้สิทธิซื้อหุ้นใหม่ อย่างน้อยผมจะเลือก ข้อ (๑) โดยจะได้ส่วนต่าง และ มีจำนวนหุ้นคืนเต็มจำนวน ส่วน ข้อ (๒) ถ้าผมไม่สามารถรับความเสี่ยงว่าจะได้ส่วนจองเกินสิทธิเท่าไร ผมไม่ทำครับ

ด้วยความปรารถนาดี",1,"trc,จอง,ซื้อ,หุ้น,ถึ,งา,คา,หุ้น,2,บาท,กรณี,จอง,ซื้อ,หุ้น,มะต้อง,เงิน,เข้าหา,ณา,ราคา,กระดาน,2,ขาย,เงิน,จอง,ซื้อ,หุ้น,ได้ส่วน,ต่า,งา,ทำ,หุ้น,สิทธิ,ซื้อ,หุ้น,ทางเลือก,หุ้น,พอร์ต,จอง,สิทธิ,ได้ส่วน,ต่า,งา,ทำ,ลด,ต้นทุน,หุ้น,พอร์ต,ทำความเข้าใจ,หุ้น,พอร์ต,trc,จอง,ซื้อ,หุ้น,พอร์ต,อย่างเร็ว,กลางเดือน,หน้า,สิงหาคม,2,หุ้น,พอร์ต,เต็ม,จำนวน,ได้ยิน,4,บาท,จอง,ซื้อ,หุ้น,สิทธิ,บาท,เงิน,4,บาท,จอง,สิทธิ,หุ้น,2,trc,ทำความเข้าใจ,จอง,สิทธิ,จัดสรร,กรณี,จำนวน,สละ,สิทธิ,น้อยหน่า,จำนวน,จอง,ทธิ,จัดสรร,สัดส่วน,สิทธิ,หมายถึง,กรณี,จำนวน,สละ,สิ,ทธืมาก,จำนวน,จอง,สิทธิ,จัดสรร,จอง,จ่าย,ค่า,หุ้น,เต็ม,จำนวน,จอง,สิทธิ,หมายถึง,เต็ม,จำนวน,ผม,trc,สิทธิ,ซื้อ,หุ้น,ผม,เลือก,ข้อ,ได้ส่วน,จำนวน,หุ้น,คืน,เต็ม,จำนวน,อ้า,ผม,ความเสี่ยง,ได้ส่วน,จอง,สิทธิ,ผม,ทำ,ความปรารถนาดี"
ผมละกลัวเปิดงบไตรมาส 2 ออกมาหงายหลังเงิบ พฤฒติกรรมเร่งรีบทำอะไรก่อนงบออกนี่น่าเป็นห่วงจริงๆ ครับคุณ luck me ใครจำ demco ได้บ้าง ตั้งสำรองฐานกังหันลมที่ต้องรับผิดชอบซ่อม ยาวต่อเนื่องมาไม่รู้จักกี่รอบ ไม่จบไม่สิ้น ผบห. ชอบพูดความจริงไม่หมดครับ,-1,"ผม,กลัว,งบ,ไตรมาส,อก,หงายหลัง,เงิบ,พฤ,ติ,กรรม,เร่งรีบ,ทำ,งบ,น่าเป็นห่วง,luckme,demco,สำรอง,ฐาน,กังหัน,รับผิดชอบ,ซ่อม,ต่อเนื่อง,รู้จัก,กี่,รอบ,จบ,ผบ,หา,ชอบ,พูดความจริง"
"ประเด็นผมอยู่ที่มี trc อยู่ในมือและได้สิทธิซื้อหุ้นใหม่แล้ว จะด้วยสาเหตุๆผลใดๆก็ตาม จะไม่ขายหุ้นในพอร์ต แสดงว่าตัวเราเองยอมรับอะไรจะเกิดก็ต้องเกิด ถ้าไม่ใช้สิทธิซื้อหุ้นใหม่ตามความเห็นผม คุณก็จะไม่ได้อะไร ในกรณีมีความกลัวร้อยแปดพันประการ น่าจะขายหุ้นในพอร์ตให้หมด แล้ว ไม่ใช้สิทธิซื้อหุ้นใหม่เพิ่มทุน

ด้วยความปรารถนาดี",1,"ประเด็น,ผม,trc,มือ,สิทธิ,ซื้อ,หุ้น,แล้,วจะ,สา,เห,ตุ,ใด,ขาย,หุ้น,พอร์ต,แสร้งว่า,ตัวเรา,สิทธิ,ซื้อ,หุ้น,ความเร็ว,ผม,กรณี,ความกลัว,ร้อยแปด,พัน,ขาย,หุ้น,พอร์ต,สิทธิ,ซื้อ,หุ้น,ทุน,ความปรารถนาดี"
ขอบคุณมากครับ,1,ขอบคุณ
"มีสมุดบัญชีอยู่เล่มนึงที่ขึ้นในแอพว่า not available โดยยังไม่ปิด แต่เล่มอื่นขึ้นได้ปกตินะคะ

แบบนี้ลบแล้วเพิ่มเข้าไปในแอพใหม่ จะหายมั๊ยคะ",1,"สมุดบัญชี,เล่ม,นึง,แอพ,notavailable,เล่ม,ปกติ,มะคะ,ลบ,แอพ,หาย"
น่าจะต้องติดต่อธนาคาร   เดาเอาว่าบัญชีนั้นไม่มีการเคลื่อนไหวนาน  เลยทำอะไรไม่ได้   ต้องเอาสมุดบัญชีไปติดต่อธนาคารให้ปลดล็อกให้,1,"ติดต่อ,ธนาคาร,เดา,บัญชี,การเคลื่อนไหว,ทำ,สมุดบัญชี,ติดต่อ,ธนาคาร,ปลดออก"
Cr. https://m.th.investing.com/currencies/usd-thb,0,Crhttpsmthinvestingcomcurrenciesusdthb
ขายแล้วครับ,1,ขาย
อ่าว เลิกกังวลกันแล้วเหรอ,-1,"อ่าว,เลิก,กังวล,เหรอ"
เจ้ากังวลว่าจะได้ของไม่ครบ ตอนนี้ได้เยอะละ ก็เลยคลายกังวล,1,"เจ้า,กังวล,ตอนนี้,คลายกังวล"
กังวลเหมือนเป็นไบโพล่าเลยนะคับ เด่วดีเด่วร้าย,-1,"กังวล,เหมือน,ไบ,โพ,ล่า,คับ,เด่,วดี,เด่,วง,ร้าย"
คงลากทุบตรง 11.2 อีกรอบแล้วทิ้งอีกที,-1,"ลาก,ทุบ,กรอบ,ทิ้ง"
ถ้าซื้อตอนนี้ผลจะดีหรือไม่ดี ยังไงบ้างครับ,1,"ซื้อ,ตอนนี้,ดี"
google,1,google
ลุกแล้วนะ...,1,ลุก
เต็มมูลค่าสุดๆ สละเรือ,1,"เต็ม,มูลค่า,สละ,เรือ"
ดี   เรือจะได้ไม่หนัก  ,1,"ดี,เรือ,หนัก"
รวย รวย รวย,1,"รวย,รวย,รวย"
พี่ก้องขายหมู 55556,1,"พี่,ก้อง,ขาย,หมู,555"
"วันนี้กองน่าจะเก็บของมันจะหมดแล้ว เก็บของถูกจากเม่าคัตลอส
เม่าขาย SET เลยขึ้น",1,"กอง,ออม,ออม,เม่า,คลอ,เม่า,ขาย,SET"
"กองหวงแต่ของแพงที่ไม่มีใครอยากรับต่อ
เพื่อนเม่าระวังกันด้วยนะครับ",-1,"กอง,หวง,แพง,ไม่มีใคร,เพื่อน,เม่า,ระวัง"
เก้าอี้ดนตรี ลุกทีหลังจ่ายรอบวงนะ,-1,"เก้าอี้ดนตรี,ลุก,ทีหลัง,จ่าย,รอ,บวง"
ถ้าเป็นคุณ แบบไหนดีกว่า บนพื้นฐานมีความรู้ทั้งสองด้าน แต่ให้เลือกทำย่างเดียว คุณเลือกแบบไหน เพราะอะไร,1,"เป็นคุณ,พื้นฐาน,ความรู้,ทั้งผอง,เลือก,ทำ,ย่าง,เลือก,เพราะอะไร"
หุ้รดีที่สุด ไปไกลที่สุด คล่องมากที่สุดครับ,1,"หุ้น,รดี,คล่อง"
หุ้นปันผล,1,"หุ้น,ปันผล"
